Kota Inflasi,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,
,2016,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,121.82,122.27,122.18,122.01,122.49,122.68,123.18,123.82,124.85,125.25,125.44,125.83
KOTA BANDA ACEH,117.01,117.03,116.73,115.46,116.3,117.58,118.44,118.02,118.94,118.92,119.1,119.94
KOTA LHOKSEUMAWE,118.65,118.49,118.26,117.8,118.09,119.02,119.2,119.79,121.52,121.79,122.19,124.94
KOTA SIBOLGA,125.64,125.62,126.56,124.29,123.71,124.87,126.01,126.78,129.12,130.83,132.13,132.51
KOTA PEMATANG SIANTAR,126.63,126.21,127.04,126.2,127.24,128.07,128.29,129.14,129.51,130.32,131.36,132.07
KOTA MEDAN,125.83,126.31,127.42,125.87,126.42,127.45,127.54,128.59,130.29,131.74,132.72,132.93
KOTA PADANGSIDIMPUAN,121.09,120.86,121.51,120.67,121.04,121.32,123.23,122.73,123.75,124.37,125.33,125.36
KOTA PADANG,127.12,128.21,128.91,127.72,127.25,127.38,129.32,130.4,131.16,131.9,133.39,133.48
KOTA BUKITTINGGI,121.88,121.62,123.05,121.09,120.68,121.56,123.34,123.83,125.2,125.66,127.01,126.29
TEMBILAHAN,127.21,127.14,127.48,127.02,127.17,128.23,128.97,129.31,129.02,129.65,129.87,129.89
KOTA PEKANBARU,123.11,122.5,123.16,121.61,121.89,122.29,123.79,123.95,125.12,125.96,127.6,127.95
KOTA DUMAI,123.55,123.94,124.23,123.43,123.51,124.48,125.05,125.11,125.91,126.5,127.54,127.63
BUNGO,121.54,121.76,121.38,121.23,120.13,122.13,123.33,123.1,123.02,123.7,124.49,124.35
KOTA JAMBI,122.2,122.47,122.79,121.01,122.09,123.27,124.7,124.86,124.65,126.13,126.76,127.21
KOTA PALEMBANG,120.91,120.78,121.05,120.82,121.62,122.18,123.55,123.23,123.53,123.43,124.13,124.96
KOTA LUBUKLINGGAU,121.1,120.58,121.28,120.37,120.77,121.64,122.23,121.76,122.72,123.11,123.68,123.81
KOTA BENGKULU,129.46,129.14,129.19,128.1,129.23,130.98,133.26,133.95,134.05,134.76,134.84,135.03
KOTA BANDAR LAMPUNG,124.22,123.59,124.2,123.26,123.34,124.26,124.92,124.78,125.16,125.88,126.42,127.31
KOTA METRO,131.12,131.67,131.84,130.78,130.75,131.63,132.02,132.86,133.06,133.11,133.91,134.08
TANJUNG PANDAN,127.91,129.21,127.63,126.79,128.44,130.32,133.37,132.6,131.7,132.11,133.03,134.23
KOTA PANGKAL PINANG,124.92,125.41,125.74,124.55,124.41,127.07,128.54,129.73,130.56,130.12,130.85,133.4
