Kota Inflasi,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,
KOTA BATAM,123.14,122.61,122.93,121.88,121.8,123.58,125.32,124.9,125.34,125.43,126.63,126.96
KOTA TANJUNG PINANG,123.41,123.84,124.2,122.47,122.61,123.42,124.8,124.88,125.04,125.36,125.74,126.01
DKI JAKARTA,123.65,123.57,123.75,123.41,123.65,124.29,125.09,125.1,125.32,125.63,125.93,126.27
KOTA BOGOR,122.76,122.73,122.98,122.58,123.03,123.58,123.98,124.26,124.37,125.11,125.87,126.07
KOTA SUKABUMI,122.78,122.82,122.62,122.01,122.36,123.03,124.17,123.87,123.99,124.01,124.53,125.09
KOTA BANDUNG,122.36,122.18,122.42,122.21,122.5,123.23,124.11,123.5,123.67,123.84,124.49,125.28
KOTA CIREBON,119.53,119.22,119.28,119.11,119.43,120.1,120.39,120.27,120.61,120.73,121.09,121.16
KOTA BEKASI,120.54,120.5,120.68,119.94,120.05,121.13,121.44,121.54,121.86,121.77,122.74,123.07
KOTA DEPOK,122.03,121.51,121.94,121.5,121.89,122.89,123.48,123.18,123.64,123.65,124.13,124.35
KOTA TASIKMALAYA,122.23,121.85,122.01,121.62,122.15,123.07,123.69,123.29,123.44,123.49,123.83,124.43
CILACAP,125.32,125.18,125.32,124.84,125.03,125.79,127.13,126.9,126.96,127.01,127.69,127.81
PURWOKERTO,121,120.65,121.31,120.76,120.9,121.36,122.42,121.79,121.81,121.84,122.78,123.23
KUDUS,128.8,128.5,129.16,128.35,128.56,128.88,130.28,129.65,129.7,129.94,130.81,131.2
KOTA SURAKARTA,120.45,120.32,120.82,120.59,120.64,120.91,121.66,121.36,121.43,121.31,122.04,122.41
KOTA SEMARANG,122.25,121.88,122.35,121.74,121.89,122.42,123.7,123.44,123.6,123.67,124.34,124.59
KOTA TEGAL,120,119.75,120.13,119.37,119.76,120.55,122.38,121.83,121.91,122.18,122.6,122.49
KOTA YOGYAKARTA,121.09,120.98,121,120.81,120.91,121.43,122.57,122.52,122.33,122.39,122.78,123.21
JEMBER,120.76,120.91,120.99,120.43,120.61,120.95,121.46,121.1,121.37,121.05,121.43,122.56
BANYUWANGI,121.01,121.15,121.19,120.45,120.59,121.47,121.99,121.82,121.84,121.62,121.93,122.5
SUMENEP,121.15,121.13,120.8,120.33,120.7,121.49,122.26,121.73,121.78,121.72,122.36,123.01
KOTA KEDIRI,121.56,121.16,121.27,120.73,120.87,121.06,122.01,121.32,121.58,121.48,122.12,122.56
KOTA MALANG,123.84,123.66,123.69,123.2,123.39,124.17,125.14,125.1,125.31,125.06,125.62,126.35
KOTA PROBOLINGGO,121.74,121.64,121.54,121.34,121.52,121.95,122.72,122.48,122.31,122.05,122.62,123.08
KOTA MADIUN,120.63,120.67,120.77,120.67,120.74,121.07,122.1,121.46,121.65,121.57,122.19,122.74
KOTA SURABAYA,122.74,122.6,122.67,122.49,122.65,123.5,124.53,124.65,124.88,124.75,125.07,125.77
KOTA TANGERANG,131.32,131.04,131.06,130.2,130.39,131.06,131.47,131.37,131.9,131.99,132.74,133.61
KOTA CILEGON,126.64,126.46,126.94,126.31,126.88,128.2,129.22,129.21,129.06,129.14,129.77,130.99
KOTA SERANG,129.98,129.76,130.13,129.22,130.36,130.72,131.64,131.54,132.21,132.44,132.86,133.02
SINGARAJA,130.53,130.17,131.22,131.14,131.16,131.33,132.48,133.54,133.64,133.21,134.25,135.1
KOTA DENPASAR,120.16,120.25,120.32,120.08,120.21,120.68,121.29,121.83,122.15,121.92,122.26,123.1
KOTA MATARAM,122.64,122.49,122.43,121.8,121.58,122.64,124.01,123.46,122.64,123.13,123.37,124.29
KOTA BIMA,126.84,127.32,127.14,126.99,126.09,128.43,129.61,129.71,129.12,128.53,128.78,129.11
MAUMERE,118.09,118.41,117.5,117.16,117.15,117.47,117.41,117.01,118.41,118.72,119.88,121.86
KOTA KUPANG,127.14,126.6,125.64,125.75,126.63,127.42,126.97,125.87,125.41,125.63,126.59,129.07
KOTA PONTIANAK,130.23,130.66,130.56,129.89,132.06,133.66,134.82,135.37,133.94,133.46,133.56,134.8
KOTA SINGKAWANG,122.54,122.86,122.89,122.66,123.16,123.95,124.91,125.89,124.95,124.45,124.51,125.54
SAMPIT,124.81,124.26,123.84,123.27,123.79,124.59,125.2,125.9,125.32,124.53,125.36,126.99
KOTA PALANGKA RAYA,121.24,120.74,120.69,120.34,120.37,121.46,121.7,121.84,121.98,121.57,121.79,123.35
TANJUNG,124.51,124.16,124.37,124.17,123.93,125.13,126.48,125.81,125.24,123.89,126.18,127.47
KOTA BANJARMASIN,122.4,122.62,122.79,122.84,123.21,124.51,125.21,125.3,125.44,125.11,125.25,126.28
KOTA BALIKPAPAN,126.09,126.72,126.67,126.16,126.33,128.53,129.85,129.61,129.88,129.79,129.94,131.58
KOTA SAMARINDA,125.92,125.98,126.54,126.16,126.22,126.99,127.25,127.74,127.49,127.36,127.72,128.83
KOTA TARAKAN,132.04,132.27,132.39,132.98,133.74,135.87,136.28,135.7,135.1,135.52,136.04,136.6
KOTA MANADO,124.98,123.96,123.92,122.84,123.01,124.31,125.35,124.87,124.02,124.03,127.58,125.64
KOTA PALU,124.71,123.95,124.42,123.76,124.75,125.53,126.02,125.5,126.24,125.04,125.65,127.09
BULUKUMBA,128.93,127.58,127.18,126.65,127.02,128.21,128.32,128.25,129.02,129.09,129.85,130.24
WATAMPONE,119.08,118.22,118.27,118.06,118.39,119.46,119.81,119.72,120.08,119.58,119.98,120.27
KOTA MAKASSAR,124.21,124.19,124.4,123.91,123.79,124.16,125.56,124.99,125.5,125.53,126.07,126.44
KOTA PARE-PARE,120.9,120.86,119.77,119.14,119.91,120.53,122.11,121.13,120.52,120.78,121.45,122.09
KOTA PALOPO,121.22,121.3,121.6,121.15,120.68,122.65,123.48,122.96,123.02,122.78,123.45,123.78
KOTA KENDARI,119.82,119.9,120.18,119.43,119.61,120.72,121.65,121.66,121.65,121.79,121.52,121.68
KOTA BAU-BAU,128.24,126.99,126.94,126,127.82,128.2,130.17,129.23,129.58,130.13,128.12,128.87
KOTA GORONTALO,119.52,120.32,120.5,120.11,120.42,121.65,121.72,121.47,120.98,120.47,121.21,121.78
MAMUJU,122.71,122.25,122.23,122.12,122.28,123.74,124.53,123.55,123.94,123.73,124.3,125.52
KOTA AMBON,122.19,122.41,121.97,120.67,122.65,122.93,123.54,124.07,123.93,124.59,125.19,125.85
KOTA TUAL,136.49,134.68,135.79,136.09,135.28,137.6,138.51,138.13,137.15,138.16,137.79,140.13
KOTA TERNATE,128.5,127.28,127.64,127.71,128.08,128.46,129.79,129.66,129.78,129.51,129.85,130.27
MANOKWARI,116.07,115.94,116.09,115.89,116.63,118.7,120.08,121.6,120.79,119.8,120.92,122.35
KOTA SORONG,124.57,124.69,124.52,123.97,122.83,124.35,125.78,127.38,127.35,125.95,126.27,126.84
MERAUKE,132.51,128.6,128.07,127.22,128.16,129.63,129.51,130.41,130.76,130.73,131.81,132.12
KOTA JAYAPURA,124.49,124.7,125.08,124.68,125.55,127.78,126.38,126.15,126.84,126.72,126.43,128.65
INDONESIA,123.62,123.51,123.75,123.19,123.48,124.29,125.15,125.13,125.41,125.59,126.18,126.71
