"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"23/01/2024","625.731.968","621.408.000","630.336.000","605.003.008","0,07K","0,70%"
"22/01/2024","621.408.000","650.657.024","651.486.976","621.000.000","0,05K","-4,50%"
"21/01/2024","650.657.024","652.484.992","652.499.968","650.067.968","0,01K","-0,28%"
"20/01/2024","652.484.992","651.974.016","653.115.008","649.665.024","0,01K","0,08%"
"19/01/2024","651.974.016","647.500.032","660.390.016","631.476.992","0,05K","0,69%"
"18/01/2024","647.500.032","667.742.976","669.940.992","638.000.000","0,05K","-3,03%"
"17/01/2024","667.742.976","675.001.984","675.001.984","662.369.024","0,03K","-1,08%"
"16/01/2024","675.001.984","665.579.008","677.849.984","660.086.976","0,03K","1,41%"
"15/01/2024","665.585.024","655.558.016","673.204.992","653.625.024","0,03K","1,62%"
"14/01/2024","655.001.984","671.545.984","672.899.968","655.000.000","0,04K","-2,46%"
"13/01/2024","671.545.984","670.000.000","678.332.032","667.001.024","0,05K","0,23%"
"12/01/2024","670.000.000","725.000.000","727.724.032","666.374.976","0,13K","-7,59%"
"11/01/2024","725.000.000","728.670.016","762.000.000","715.049.984","0,12K","-0,50%"
"10/01/2024","728.670.016","716.588.032","743.369.024","696.761.024","0,10K","1,69%"
"09/01/2024","716.588.032","724.926.976","741.625.984","704.515.008","0,08K","-1,15%"
"08/01/2024","724.926.976","685.689.984","729.272.000","675.849.984","0,08K","5,72%"
"07/01/2024","685.689.984","684.555.008","691.809.984","682.000.000","0,03K","0,17%"
"06/01/2024","684.555.008","686.377.984","687.000.000","678.702.976","0,01K","-0,27%"
"05/01/2024","686.377.984","686.304.000","689.580.032","667.000.000","0,06K","0,01%"
"04/01/2024","686.304.000","669.945.024","694.000.000","666.001.984","0,05K","2,44%"
"03/01/2024","669.945.024","701.203.968","709.000.000","660.000.000","0,10K","-4,46%"
"02/01/2024","701.203.968","683.907.008","712.491.008","683.907.008","0,10K","2,53%"
"01/01/2024","683.907.008","663.249.984","684.998.976","662.004.992","0,03K","3,11%"
"31/12/2023","663.249.984","657.534.016","665.700.992","654.726.976","0,02K","0,87%"
"30/12/2023","657.532.992","657.139.968","661.500.032","651.000.000","0,02K","0,06%"
"29/12/2023","657.139.968","664.179.008","669.363.008","651.000.000","0,04K","-1,06%"
"28/12/2023","664.179.008","669.800.000","674.083.008","657.345.024","0,03K","-0,84%"
"27/12/2023","669.800.000","659.494.976","672.000.000","655.073.024","0,03K","1,56%"
"26/12/2023","659.494.976","676.652.032","676.652.032","649.356.032","0,07K","-2,54%"
"25/12/2023","676.652.032","670.800.000","680.833.024","668.345.024","0,03K","0,87%"
"24/12/2023","670.798.976","678.496.000","681.033.024","668.499.968","0,03K","-1,13%"
"23/12/2023","678.496.000","682.102.016","682.246.016","675.065.024","0,02K","-0,53%"
"22/12/2023","682.102.016","679.342.976","686.200.000","676.000.000","0,04K","0,41%"
"21/12/2023","679.342.976","677.699.968","682.579.968","673.500.992","0,03K","0,24%"
"20/12/2023","677.699.968","658.000.000","684.569.024","657.001.024","0,05K","2,99%"
"19/12/2023","658.000.000","662.524.992","672.950.016","650.500.992","0,04K","-0,68%"
"18/12/2023","662.524.992","647.753.024","663.564.992","635.000.000","0,05K","2,28%"
"17/12/2023","647.753.024","660.444.992","661.603.008","647.425.984","0,03K","-1,92%"
"16/12/2023","660.444.992","655.096.000","664.702.016","651.300.992","0,02K","0,69%"
"15/12/2023","655.891.008","668.902.976","669.256.000","651.200.000","0,03K","-1,95%"
"14/12/2023","668.902.976","667.400.000","672.950.016","650.000.000","0,04K","0,23%"
"13/12/2023","667.400.000","647.265.984","674.000.000","636.060.992","0,05K","3,11%"
"12/12/2023","647.265.984","648.060.032","659.366.976","636.001.024","0,04K","-0,12%"
"11/12/2023","648.060.032","685.232.000","685.969.984","633.000.000","0,11K","-5,42%"
"10/12/2023","685.232.000","684.217.024","688.244.992","684.000.000","0,03K","0,15%"
"09/12/2023","684.217.024","688.355.008","691.715.008","684.000.000","0,03K","-0,64%"
"08/12/2023","688.595.968","673.201.024","693.315.008","671.148.992","0,06K","2,29%"
"07/12/2023","673.201.024","683.185.024","686.499.008","670.000.000","0,06K","-1,46%"
"06/12/2023","683.185.984","682.859.008","688.425.984","676.812.032","0,08K","0,05%"
"05/12/2023","682.859.008","651.601.024","686.998.976","642.619.008","0,10K","4,80%"
"04/12/2023","651.601.024","620.958.976","655.454.976","620.958.976","0,09K","4,93%"
"03/12/2023","620.960.000","610.960.000","622.076.992","610.686.016","0,04K","1,64%"
"02/12/2023","610.960.000","600.553.024","614.217.024","600.233.984","0,04K","1,73%"
"01/12/2023","600.553.984","585.713.024","601.398.976","585.299.968","0,05K","2,53%"
"30/11/2023","585.710.976","585.601.984","590.000.000","583.900.992","0,02K","0,11%"
"29/11/2023","585.056.000","582.998.016","590.099.968","581.548.032","0,04K","0,35%"
"28/11/2023","582.998.016","580.364.032","590.251.008","573.145.024","0,03K","0,45%"
"27/11/2023","580.364.032","585.376.000","586.091.008","573.000.000","0,04K","-0,86%"
"26/11/2023","585.376.000","590.150.016","590.972.992","581.152.000","0,02K","-0,81%"
"25/11/2023","590.150.016","587.008.000","591.000.000","586.000.000","0,02K","0,54%"
"24/11/2023","587.008.000","580.798.016","596.374.016","580.251.008","0,05K","1,07%"
"23/11/2023","580.798.016","580.627.008","585.000.000","575.489.984","0,03K","0,03%"
"22/11/2023","580.627.008","558.700.992","585.500.032","557.732.992","0,05K","3,92%"
"21/11/2023","558.720.000","580.499.008","580.928.000","558.720.000","0,04K","-3,75%"
"20/11/2023","580.499.008","579.883.008","582.000.000","570.280.000","0,02K","0,11%"
"19/11/2023","579.883.008","568.001.024","579.886.976","564.633.024","0,02K","2,09%"
"18/11/2023","568.001.024","567.838.976","571.000.000","565.676.032","0,02K","0,03%"
"17/11/2023","567.838.976","563.553.984","570.497.024","557.000.000","0,04K","0,82%"
"16/11/2023","563.228.992","586.684.992","587.862.976","555.000.000","0,05K","-4,00%"
"15/11/2023","586.684.992","556.142.976","587.641.024","550.876.032","0,05K","5,49%"
"14/11/2023","556.142.976","576.334.976","579.944.000","548.441.984","0,06K","-3,50%"
"13/11/2023","576.334.976","585.604.992","588.244.992","575.000.000","0,05K","-1,58%"
"12/11/2023","585.604.992","584.195.968","586.961.024","581.500.032","0,01K","0,24%"
