90 Kota Inflasi (2018=100),,,,,,,,,,,,
,Indeks Harga Konsumen 90 Kota (Umum),,,,,,,,,,,
,2023,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,119.59,120.06,119.27,118.44,119.13,119.69,119.95,120.02,120.56,120.92,121.19,120.38
KOTA BANDA ACEH,115.69,116.35,115.69,115.9,116.05,116.12,116.47,116.15,116.31,116.02,116.46,116.75
KOTA LHOKSEUMAWE,115.41,116,115.64,115.15,115.74,115.82,115.77,115.8,116.11,115.98,116.2,116.34
KOTA SIBOLGA,116.78,117.15,116.38,116.69,116.88,117.6,118.01,118.16,118.68,118.45,118.22,118.32
KOTA PEMATANG SIANTAR,115.55,115.5,115.15,114.86,115.38,115.98,116.1,115.97,116.15,115.98,116.41,117.06
KOTA MEDAN,113.35,112.92,112.58,112.36,112.63,112.96,113.28,113.21,113.64,113.59,114.15,114.84
KOTA PADANGSIDIMPUAN,116.98,117.47,117.27,117.22,117.79,118.04,118.58,118.42,119,118.79,118.8,119.05
KOTA GUNUNGSITOLI,116.79,115.65,114.6,114.12,114.55,114.79,116.28,116.43,116.87,116.31,117.11,117.35
KOTA PADANG,115.22,115.37,115.26,115.23,115.69,115.65,116.22,116.3,116.38,116.52,117.22,117.62
KOTA BUKITTINGGI,115.31,115.42,115.38,115.45,115.66,115.76,116.18,116.08,116.85,116.78,117.18,117.02
TEMBILAHAN,113.19,113.34,113.13,113.6,113.75,113.78,114.24,113.62,113.72,113.58,114.19,114.32
KOTA PEKANBARU,114.75,114.97,114.77,114.76,114.78,115.01,115.43,115.38,115.77,115.81,116.63,116.88
KOTA DUMAI,115.62,115.55,115.53,115.34,115.65,115.98,116.82,116.69,117.3,116.95,117.88,117.85
BUNGO,115.07,115.25,115.11,115.42,115.59,115.73,116.08,115.69,116.09,116.14,117.08,117.44
KOTA JAMBI,115.94,115.69,115.5,115.66,116.25,116.33,116.9,116.37,116.85,117.43,118.36,118.66
KOTA PALEMBANG,113.29,113.39,113.63,114.01,113.95,114.4,114.73,114.68,115.11,115.72,116.36,116.53
KOTA LUBUKLINGGAU,113.4,113.44,113.56,113.96,114.11,114.39,114.74,114.69,115.08,115.3,115.68,115.97
KOTA BENGKULU,113.88,113.92,114.22,114.54,114.74,114.98,115.54,115.46,115.73,116.05,116.4,116.68
KOTA BANDAR LAMPUNG,115.57,115.76,115.84,116.19,116.06,116.26,116.29,116.69,117.08,117.41,118.64,118.66
KOTA METRO,115.97,116.16,115.9,116.25,116.54,116.55,116.83,116.75,117.14,117.66,118.64,118.6
TANJUNG PANDAN,117.52,117.21,118.03,118.25,119.76,119.72,120.42,119.94,121.63,120.87,120.62,119.93
