90 Kota Inflasi (2018=100),,,,,,,,,,,,
,Indeks Harga Konsumen 90 Kota (Umum),,,,,,,,,,,
,2022,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,112.44,111.46,112.23,113.6,115.03,116.56,117.86,117.47,118.04,118.27,117.54,118.69
KOTA BANDA ACEH,109.58,109.21,109.85,111.2,112.22,113.07,114.18,113.81,114.7,114.14,114.26,114.99
KOTA LHOKSEUMAWE,109.93,108.84,109.77,111.14,112.28,112.79,113.32,112.21,113.22,113.26,112.85,114.55
KOTA SIBOLGA,109.81,109.58,110.6,111.02,111.96,113.21,114.42,114.4,114.78,113.53,113.47,115.1
KOTA PEMATANG SIANTAR,108.83,109.03,109.87,110.3,110.98,112.49,112.53,111.64,113.32,112.71,112.62,114.43
KOTA MEDAN,107.02,106.72,107.45,107.91,108.73,110.24,110.54,110.26,111.34,110.82,110.68,112.38
KOTA PADANGSIDIMPUAN,109.66,110.07,111.29,112.16,113.02,114.48,115.15,114.79,115.93,115.22,114.91,115.64
KOTA GUNUNGSITOLI,109.44,109.91,110.34,110.58,110.63,113.64,115.7,114.05,114.75,113.05,112.63,114.65
KOTA PADANG,107.92,108.02,108.8,109.45,110.96,112.25,113.77,112.67,114.18,113.93,113.59,114.7
KOTA BUKITTINGGI,107.6,107.5,108.77,109.97,111.68,113.11,113.38,112.35,114.45,114.16,114.11,114.86
TEMBILAHAN,108.89,108.04,109.32,109.92,110.96,111.84,112.86,111.1,112.09,111.31,111.54,112.6
KOTA PEKANBARU,107.29,107.75,108.75,109.37,110.17,112.37,113.36,111.95,113.7,112.88,112.99,114.03
KOTA DUMAI,108.43,108.02,108.73,109.54,111.19,112.93,113.57,112.38,114.14,113.47,113.66,114.66
BUNGO,109.19,108.77,109.97,111.34,112.35,113.96,115.16,113.5,114.75,113.44,113.42,114.19
KOTA JAMBI,109.22,108.29,109.75,111.43,112.3,114.04,115.52,114.18,114.81,114.63,114,114.9
KOTA PALEMBANG,107.55,107.54,108.29,109.33,110.22,111.21,112.06,111.11,112.53,112.42,112.36,112.89
KOTA LUBUKLINGGAU,107.68,107.63,108.34,109.29,110.36,111.3,112.06,111.5,112.66,112.46,112.36,113.02
KOTA BENGKULU,107.43,107.32,108.11,109.68,110.26,110.92,111.93,111.66,113.02,112.86,112.92,113.18
KOTA BANDAR LAMPUNG,109.04,108.6,109.61,110.5,111.14,112.5,113.34,112.95,114.48,113.91,113.92,114.63
KOTA METRO,109.82,109.6,110.54,111.9,112.62,113.82,114.48,113.4,114.54,114.31,114.37,115.09
TANJUNG PANDAN,111.52,109.2,110.61,113.46,116,115.97,117.27,115.34,115.8,114.64,113.91,115.54
KOTA PANGKAL PINANG,108.47,107.89,109.08,111.06,112,111.75,112.88,111.52,112.68,112.34,112.55,113.66
KOTA BATAM,108.02,107.5,108.28,109.49,110.35,111.28,111.96,111.4,112.6,112.56,112.33,113.61
KOTA TANJUNG PINANG,106.1,106.19,106.57,107.47,108.57,109.44,110.16,109.57,110.58,110.2,110,110.94
DKI JAKARTA,108.07,108.02,108.49,109.25,109.32,109.67,110.29,110.17,111.5,111.44,111.5,112.11
KOTA BOGOR,109.77,109.91,110.98,111.74,112.35,113.19,113.81,113.3,114.64,114.75,114.98,115.54
KOTA SUKABUMI,108.09,108.21,108.93,109.78,110.05,110.69,111.17,111.13,112.61,112.56,112.76,113.32
KOTA BANDUNG,107.92,108.07,108.98,110.2,110.61,111.43,112.1,111.83,112.85,112.98,113.12,115.43
KOTA CIREBON,105.79,105.95,106.63,107.4,107.85,108.37,108.76,108.73,109.95,109.84,109.94,110.32
KOTA BEKASI,110.2,110.54,110.96,112.03,112.35,112.9,113.6,113.74,115.31,115.09,115.14,115.67
KOTA DEPOK,108.87,109.18,110.11,111.62,111.91,112.5,113.3,113.29,114.7,114.4,114.53,114.9
KOTA TASIKMALAYA,105.28,105.79,106.89,108.34,109.16,109.61,110.24,110,111.05,110.99,111.19,111.78
CILACAP,106.91,106.99,108.26,110.08,110.73,111.52,111.91,111.29,112.53,112.54,112.77,113.44
PURWOKERTO,107.87,107.9,108.78,110.57,111.27,111.93,112.37,111.88,113.17,113.19,113.54,114.1
KUDUS,107.14,107.2,108.07,109.44,109.86,110.59,111.01,110.67,112.5,112.52,112.67,113.12
