90 Kota Inflasi (2018=100),,,,,,,,,,,,
,Indeks Harga Konsumen 90 Kota (Umum),,,,,,,,,,,
KOTA SURAKARTA,107.75,108.09,109.1,110.7,111.49,112.48,112.87,112.8,114.27,114.2,114.32,114.85
KOTA SEMARANG,107.82,107.73,108.44,109.37,109.95,110.97,111.63,111.14,112.4,112.2,112.35,112.85
KOTA TEGAL,108.65,108.86,109.83,110.82,111.96,112.67,113.34,112.61,113.84,113.76,114,114.7
KOTA YOGYAKARTA,109.17,109.22,110.06,111.32,112.16,112.74,113.27,113.13,114.32,114.45,114.82,115.57
JEMBER,108.18,108.25,109.41,110.98,111.56,112.35,113.1,112.57,114.11,114.08,115,115.65
BANYUWANGI,106.11,105.95,106.93,108.06,108.59,109.25,109.99,109.38,110.33,110.45,111.28,112.09
SUMENEP,108.41,108.24,109.42,110.46,111.67,112.17,113.34,112.06,113.13,112.96,113.7,114.98
KOTA KEDIRI,107.56,107.77,108.23,109.47,109.56,110.41,111.02,111.01,112.52,112.28,112.61,113.27
KOTA MALANG,106.4,106.59,107.26,108.8,109.36,110.03,110.87,110.84,112.02,111.9,112.03,112.68
KOTA PROBOLINGGO,106.86,106.67,107.44,108.6,109.11,109.92,110.49,109.77,110.85,111.03,111.44,112.18
KOTA MADIUN,106.91,106.94,107.77,108.81,109.44,110.16,110.85,110.38,111.79,111.76,111.96,112.61
KOTA SURABAYA,108.08,108.12,108.88,109.93,110.47,110.98,111.62,111.91,113.61,113.69,114.03,114.69
KOTA TANGERANG,107.43,107.55,108.63,109.68,109.73,110.38,110.61,110.49,111.66,111.51,111.34,111.82
KOTA CILEGON,110.52,110.14,111.4,112.69,112.98,113.98,114.48,113.97,115.56,115.26,115.15,115.84
KOTA SERANG,110.88,111.19,112.43,113.32,114.27,115.15,115.73,115.54,116.96,117.02,117.26,117.75
SINGARAJA,109.43,108.51,109.89,110.87,111.51,113.96,114.51,112.81,113.2,113.02,113.1,113.77
KOTA DENPASAR,107.48,107.09,108,109.1,109.9,110.69,111.75,111.71,112.34,112.3,112.65,113.17
KOTA MATARAM,106.53,106.51,107.66,108.84,109.6,110.54,111.89,111.09,112.17,112.03,112.13,112.37
KOTA BIMA,107.4,107.13,107.76,109.24,109.76,110.98,112.44,111.23,112.48,112.71,112.82,113.29
WAINGAPU,108.34,108.85,109.06,110.2,110.51,110.73,111.26,109.62,110.91,110.53,109.9,111.15
MAUMERE,108.26,107.69,108.32,108.9,109.85,110.76,112.43,111.31,111.94,111.85,112.33,113.54
KOTA KUPANG,106.48,107.17,107.27,108.84,109,109.56,110.73,109.78,111.78,112.19,112.06,112.89
SINTANG,115.35,115.72,116.74,118.59,119.86,120.45,120.7,119.54,121.18,121.19,121.31,121.8
KOTA PONTIANAK,108.33,108.63,109.1,110.25,111.03,111.11,111.16,111.34,113.1,113.18,113.57,114.22
KOTA SINGKAWANG,107.45,107.61,107.83,109.23,110.37,110.27,110.69,110.08,111.91,112.06,112.55,113.11
SAMPIT,111.01,110.98,112.06,113.15,114.21,115.23,115.51,114.93,116.57,116.56,116.65,116.98
KOTA PALANGKA RAYA,108.51,108.5,109.25,110.31,111.34,112.31,112.94,113.26,114.45,114.37,114.61,114.86
KOTA BARU,111.31,111.27,112.45,113.46,114.86,116.38,117.62,117.77,118.63,118.68,119.14,119.83
TANJUNG,109.85,110.11,110.81,111.56,112.87,113.83,113.88,112.89,113.63,113.9,114.31,114.86
KOTA BANJARMASIN,110.55,110.01,111.04,112.4,113,113.8,114.15,113.65,115.42,115.74,116.21,117.05
KOTA BALIKPAPAN,106.58,106.04,107.2,108.63,109.19,109.77,110.57,110.21,111.18,111.28,111.33,111.55
KOTA SAMARINDA,107.4,107.18,107.61,108.74,109.44,109.9,110.47,110.25,111.17,111.42,111.7,111.99
TANJUNG SELOR,106.28,106.29,107.88,108.53,109.37,111.32,111.7,110.91,112.37,112.73,113.02,113.23
KOTA TARAKAN,108.42,108.41,108.97,109.77,110.6,110.84,111.39,110.79,111.86,111.68,111.74,112.4
KOTA MANADO,108.74,107.86,108.29,109.97,110.17,111.11,111.91,111.5,112.65,112.51,112.16,112.9
KOTA KOTAMOBAGU,108.79,108.96,109.91,111.48,111.25,112.88,113.65,113.03,114.42,114.18,114.53,116.11
LUWUK,110.86,110.82,111.84,113.31,114.31,115.47,116.46,117.09,117.52,116.97,116.51,117.47
KOTA PALU,110.63,110.06,111.28,112.86,112.64,112.97,114.31,114.6,115.2,114.97,114.86,115.78
BULUKUMBA,109.58,109.29,110.51,111.2,111.41,111.92,112.55,111.88,113.12,112.83,112.96,113.51
WATAMPONE,107.12,107.28,108.47,109.78,110.65,111.82,112.4,111.62,112.65,112,111.9,112.57
KOTA MAKASSAR,108.52,108.46,108.99,110.37,110.51,110.83,112.22,111.9,113.12,113,113.35,114.19
KOTA PARE-PARE,110.02,110,110.61,111.4,113.49,113.61,114.25,114.12,115.45,114.9,115.15,115.98
KOTA PALOPO,107.97,107.94,108.43,109.69,110.14,110.58,111.24,111.53,113.47,112.91,112.69,113.1
KOTA KENDARI,108.81,108.71,108.63,110.59,112.13,111.45,113.98,114.39,114.88,115.19,115.6,116.2
KOTA BUA-BAU,107.13,107.29,108.31,109.52,110.23,111.3,112.89,112.09,112.62,112.73,113.06,114.76
KOTA GORONTALO,106.88,106.48,107.81,109.12,109.52,111.33,111.97,111.38,111.93,111.94,111.88,112.64
MAMUJU,109.93,109.8,110.55,111.34,112.11,112.88,113.87,113.26,114.48,112.83,113.3,113.89
KOTA AMBON,110.16,109.67,110.2,110.99,111.76,111.85,113.72,114.65,114.99,114.85,116.17,116.81
KOTA TUAL,110.56,109.32,109.02,110.92,112.27,113,114.88,113.84,115,113.45,114.4,115.33
KOTA TERNATE,108.33,107.13,107.49,108.37,108.66,109.02,111,110.73,111.3,110.75,110.96,112.23
MANOKWARI,111.34,109.75,111.22,112.41,114.14,114.95,115.61,114.7,113.97,114.84,115.92,118.07
KOTA SORONG,108.51,107.1,107.34,108.43,109.09,109.51,110.89,109.98,111.62,110.61,110.94,110.95
MERAUKE,106.77,107.14,109.13,109.94,109.92,109.71,110.35,109.41,109.49,109.62,109.57,111.03
TIMIKA,108.94,108.68,109.37,110.38,111.03,112.19,114,114.55,113.87,114.7,115.09,115.89
KOTA JAYAPURA,105.83,105,105.94,108.46,109.5,110.47,111.05,110.75,111.62,111.29,110.97,112.02
INDONESIA,108.26,108.24,108.95,109.98,110.42,111.09,111.8,111.57,112.87,112.75,112.85,113.59
