Kota Inflasi,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,
,2018,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,131.63,131.3,131.57,130.88,131.62,131.88,132.81,133.11,132.57,132.35,132.45,133.08
KOTA BANDA ACEH,125.35,125.09,124.99,124.87,125.77,126.83,126.93,127.56,126.6,127.01,128.18,128.2
KOTA LHOKSEUMAWE,128.94,128.26,127.94,127.37,128.25,129.66,130.1,129.88,128.78,129.43,129.8,131.16
KOTA SIBOLGA,138.34,137.65,138.74,137.85,137.75,138.15,139,138.48,139.02,140.75,140.36,140.5
KOTA PEMATANG SIANTAR,136.89,136.1,136.33,137.1,137.09,137.23,137.71,137.8,137.47,138.57,138.56,139.09
KOTA MEDAN,138.14,136.82,137.66,137.65,136.46,136.47,137.14,137.15,137.28,139.26,138.37,138.53
KOTA PADANGSIDIMPUAN,130.51,129.75,130.18,131.17,130.45,130.95,131.64,131.65,131.7,131.84,132.5,133.04
KOTA PADANG,136.88,136.76,137.19,137.2,137.83,138.37,139.23,138.67,138.18,139.28,139.55,139.77
KOTA BUKITTINGGI,128.98,128.69,129.05,129.21,128.71,128.97,129.08,128.91,129.04,130.23,131.31,131.85
TEMBILAHAN,136.38,135.87,137.75,137.98,138.3,138.45,138.76,138.03,136.99,136.94,138.04,139
KOTA PEKANBARU,133.95,133.59,134.34,134.61,134.58,134.6,135.13,135.38,135.1,135.72,136.29,136.54
KOTA DUMAI,134.3,133.98,134.05,134.24,134.45,135.33,135.19,134.73,134.38,135.05,136,136.3
BUNGO,129.96,129.79,130.2,130.44,130.63,131.04,131.2,131.24,131.25,131.92,132.62,132.83
KOTA JAMBI,131.81,130.71,131.53,131.81,131.66,133.52,132.51,132.61,131.91,133.07,133.27,134.57
KOTA PALEMBANG,129.29,129.21,129.72,130.1,130.3,131.15,131.14,130.92,130.39,130.57,130.84,132.09
KOTA LUBUKLINGGAU,129.82,129.79,130.18,130.56,130.65,130.9,131.27,131.36,130.98,131.02,131.35,131.8
KOTA BENGKULU,141.22,140.8,141.32,141.69,142.15,143.3,144.55,141.95,142.79,141.73,142.01,143.13
KOTA BANDAR LAMPUNG,133.17,133.25,133.4,133.39,133.32,134.62,134.56,134.63,134.36,134.39,134.73,135.15
KOTA METRO,137.85,138.11,138.34,138.18,137.73,138.44,138.37,138.65,138.39,138.69,139.06,139.44
TANJUNG PANDAN,140.17,139.77,139.7,139.32,139.76,141.55,142.75,143.46,141.85,142.7,142.16,143.35
KOTA PANGKAL PINANG,138.69,137.54,137.92,139.31,137.93,140.44,140.92,139.47,139.54,139.07,139.06,141.67
KOTA BATAM,133.51,133.43,133.79,133.36,133.5,135.22,135.54,134.65,134.53,134.71,135.4,137.03
KOTA TANJUNG PINANG,130.49,130.68,130.45,130.28,130.94,131.26,131.85,132.15,131.98,132.36,132.22,133.34
DKI JAKARTA,131.53,132.02,132.14,132.22,132.82,133.46,133.81,133.85,133.68,134.05,134.45,135.25
KOTA BOGOR,132.75,133.21,133.48,133.74,133.79,134.66,135.31,135.17,134.82,135.14,135.67,136.73
KOTA SUKABUMI,131.25,131.53,131.7,131.74,131.99,132.58,133.3,133.17,132.77,132.93,133.36,134.06
KOTA BANDUNG,130.68,130.97,131.24,131.59,131.88,132.51,132.73,132.71,132.39,133.05,133.53,134.48
KOTA CIREBON,127.72,128.48,128.11,128.01,128.21,129.09,129.36,128.94,128.59,128.75,129.23,129.98
KOTA BEKASI,127.96,128.72,129.57,129.1,129.81,130.03,131.15,130.95,130.86,131.07,131.35,132.13
KOTA DEPOK,130.12,130.5,130.68,130.48,130.65,131.55,131.59,132.14,131.95,132.38,132.64,132.93
KOTA TASIKMALAYA,130.55,130.83,130.96,130.83,131.38,132.15,132.33,131.84,131.49,131.56,131.9,132.23
CILACAP,135.22,135.73,135.58,135.43,135.32,136.35,136.47,136.3,136.12,136.68,137.11,137.73
PURWOKERTO,129.7,129.76,129.19,129.27,129.28,130.53,130.63,130.41,130.3,130.76,131.18,131.87
KUDUS,138.03,138.81,138.9,138.91,139.11,139.55,139.7,139.54,139.44,139.84,140.25,140.92
KOTA SURAKARTA,126.91,127.53,127.76,127.73,127.78,128.86,128.97,128.22,127.98,128.29,128.57,129.3
KOTA SEMARANG,130.17,130.65,130.71,130.74,130.62,131.45,131.6,131.45,131.57,131.94,132.22,132.7
KOTA TEGAL,128.9,128.97,128.62,128.61,128.92,130.17,130.25,129.96,129.95,130.4,130.74,131.35
KOTA YOGYAKARTA,129.1,129.04,129.23,129.36,129.46,130.05,130.78,130.44,130.29,130.46,131.06,131.81
JEMBER,127.59,127.82,127.72,128.23,128.55,129.5,129.39,129.38,129.32,129.63,129.98,130.62
BANYUWANGI,127.26,127.47,127.62,127.67,127.83,128.47,128.51,128.45,127.82,127.93,128.26,128.96
SUMENEP,128.01,128.11,128.12,128.09,128.48,129.56,129.64,129.39,129.41,129.8,130.11,130.78
KOTA KEDIRI,126.95,127.28,127.41,127.59,127.37,127.92,128.04,127.91,128.17,128.38,128.89,129.27
KOTA MALANG,132,132.22,132.38,132.57,132.96,133.29,133.57,133.64,133.22,133.62,134.12,134.99
KOTA PROBOLINGGO,127.37,127.76,127.59,127.86,127.98,128.92,129,128.55,128.14,128.39,128.84,129.77
KOTA MADIUN,129.41,129.73,129.76,130.04,130.19,131.14,131.36,131.25,131.09,131.32,131.76,132.09
KOTA SURABAYA,132.09,132.27,132.35,132.61,132.83,133.33,133.37,133.68,133.88,134.08,134.36,135.24
KOTA TANGERANG,138.34,138.71,139.38,139.93,139.95,140.34,141.13,141.55,141.64,141.63,142.18,143.08
KOTA CILEGON,138.42,138.76,138.85,138.82,139.47,140.46,140.8,140.49,140.3,140.32,140.81,141.62
KOTA SERANG,141.17,141.38,141.71,141.94,142.17,142.91,143.71,143.81,143.51,143.59,144.26,145.19
SINGARAJA,140.86,141.21,141.75,141.37,140.91,141.13,141.73,142.02,141.01,140.95,141.09,142.28
KOTA DENPASAR,128.37,129.21,129.4,129.49,129.45,129.94,130.56,130.86,130.18,130.05,130.49,131.5
KOTA MATARAM,129.49,130.06,129.86,130.19,129.86,130.84,131.63,131.54,131.16,131.65,132.11,132.81
KOTA BIMA,134.5,135,134.23,135.3,134.78,135.82,136.92,136.63,136.33,136.99,137.41,138.71
MAUMERE,124.14,124.73,125.22,124.74,124.82,125.17,125.53,125.34,125.68,125.63,126.23,126.41
KOTA KUPANG,133.1,132.77,132.02,132.04,133.05,134.11,133.85,133.19,132.09,132.03,133.18,135.96
KOTA PONTIANAK,140.4,140.77,141.67,141.89,142.4,144.45,145.08,144.15,143.76,143.34,143.74,145.58
KOTA SINGKAWANG,133.84,133.95,134.21,134.32,134.64,135.95,137.1,137.15,137.13,136.2,135.73,136.31
SAMPIT,132.08,132.27,132.68,133.51,134.45,136.9,136.82,137.19,137.05,137.26,137.04,139.06
KOTA PALANGKA RAYA,127.59,127.64,128.11,128.48,128.81,130.28,130.33,130.16,130.19,130.46,130.48,131.87
TANJUNG,131.04,130.83,131.92,132.73,133.2,133.66,134.91,133.44,133.06,133.32,133.02,133.92
KOTA BANJARMASIN,131.49,131.3,131.72,131.82,132.01,133.31,133.15,133.3,133.24,133.37,133.63,134.56
KOTA BALIKPAPAN,135.06,135.21,135.58,135.98,136.45,138.22,139.64,139.61,138.77,137.83,137.85,139.03
KOTA SAMARINDA,134.15,134.57,134.41,134.81,135.32,135.94,137.07,137.46,137.45,137.78,137.61,138.02
KOTA TARAKAN,141.07,141.19,141.15,141.56,142.27,146.13,144.09,144.99,143.93,143.98,145.08,147.4
KOTA MANADO,129.34,130.06,130.23,131.65,132.37,133.23,132.32,131.16,130.12,130.22,132.61,133.64
KOTA PALU,133.5,133.08,132.97,133.98,134.33,136.87,137.14,137.06,135.39,138.46,139.61,141.15
BULUKUMBA,138.1,138.73,138.72,139.26,139.81,140.64,141.36,141.19,140.66,140.41,140.99,141.56
WATAMPONE,128.55,129.05,128.87,129.1,130.05,131.76,132.93,132.9,132.24,132.27,132.6,132.88
KOTA MAKASSAR,132.99,133.25,133.28,133.55,133.99,135.21,135.86,135.72,134.56,135.03,135.44,136.7
KOTA PARE-PARE,128.02,128.09,126.87,126.44,127.24,128.08,129.39,129.45,127.39,127.65,127.53,128.76
KOTA PALOPO,130.28,131.04,130.86,131.28,131.53,133.43,134.39,134,133.08,132.79,133.15,134.06
KOTA KENDARI,126.02,126.08,125.98,125.78,126.99,129.54,130.4,128.72,128.03,128.23,128.59,128.48
KOTA BAU-BAU,133.67,133.91,132.42,132.24,133.96,136.56,138.2,134.76,133.46,133.88,134.44,136.61
KOTA GORONTALO,127.93,126.86,127.29,127.14,128.03,128.51,128.69,128.66,128.58,128.77,129.06,129.8
MAMUJU,130.93,131.27,130.57,130.88,131.23,132.37,132.55,132.48,132.08,132.1,132.01,132.62
KOTA AMBON,126.58,127.43,127.25,126.57,128.07,129.27,127.4,127.59,127.02,127.59,128.68,130.23
KOTA TUAL,153.54,154.04,150.5,147.1,149.87,153.19,154.11,152.09,152.3,153.38,154.98,155.79
KOTA TERNATE,133.71,134.19,135.01,135.84,136.38,138.71,137.09,136.71,136.7,136.87,137.23,138.31
MANOKWARI,125.65,124.46,124.54,124.98,126.27,127.15,127.86,127.98,127.86,129.23,130.24,132.03
KOTA SORONG,129.17,129.8,130.31,131.3,132.01,133.8,135.77,136.46,134.91,134.67,135.09,134.89
MERAUKE,134.91,136.12,136.27,138.07,139.18,139.93,139.39,138.65,137.34,136.7,139.5,141.02
KOTA JAYAPURA,130.28,131.65,134.42,134.35,135.41,136.86,136.92,135.69,136.3,136.79,138.34,140.58
INDONESIA,132.1,132.32,132.58,132.71,132.99,133.77,134.14,134.07,133.83,134.2,134.56,135.39
